sample	n_common_genes	pearson_r	spearman_r
Human_CNV_S1	14523	0.9999998605883816	0.9999475415136264
Human_CNV_S2	14523	0.9999999234459592	0.9999519230022632
Human_CNV_S3	14523	0.9999868269849638	0.9998350251108356
Human_CNV_S4	14523	0.9999969580925504	0.999879859835228
Human_Control_S1	14523	0.9999961495789906	0.999909857671188
Human_Control_S2	14523	0.9999988290608258	0.9999000762748496
Human_Control_S3	14523	0.9998773164820582	0.9997724504551764
Human_Control_S4	14523	0.999977877182109	0.9998365353549286
