analysis_set	k	included_accessions	pooled_hedges_g	standard_error	residual_df	p	ci95_low	ci95_high	tau2	I2	prediction_interval_low	prediction_interval_high	positive_studies
PRE_ADJUDICATION_8_ACCESSIONS	8	GSE130400;GSE194176;GSE234447;GSE241239;GSE259255;GSE289223;GSE301407;GSE315511	1.84298808605685	0.55963752133728	7	0.013244392292163	0.519655631001441	3.16632054111226	1.76124233122922	73.6841916988728	-1.562757564316	5.2487337364297	7
PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	7	GSE130400;GSE194176;GSE234447;GSE241239;GSE289223;GSE301407;GSE315511	1.66282043810926	0.586742878880667	6	0.0298013719341685	0.227112334201234	3.09852854201728	1.71103883128756	74.8717375154793	-1.84515523786885	5.17079611408737	6
STRICT_UNIT_CONFIRMED_SENSITIVITY	2	GSE234447;GSE315511	1.75909890909303	2.05567353784543	1	0.549393840292055	-24.3607099335076	27.8789077516937	7.7914488246463	92.1565884285573	-42.2880965694547	45.8062943876407	1
