study	hedges_g_fresh	sampling_variance	hedges_g_old	vi	absolute_g_difference	absolute_variance_difference	status
GSE130400	0.694609867245036	0.169906067609894	0.694609867245036	0.169906067609894	2.22044604925031e-16	4.16333634234434e-16	PASS
GSE194176	0.461387809841143	0.684406559255834	0.461387809841143	0.684406559255834	2.77555756156289e-16	1.11022302462516e-16	PASS
GSE234447	3.85379224668836	0.822085048117928	3.85379224668836	0.822085048117928	1.33226762955019e-15	4.44089209850063e-16	PASS
GSE241239	2.69666761375146	0.636334009127333	2.69666761375146	0.636334009127333	8.88178419700125e-16	3.33066907387547e-16	PASS
GSE259255	3.612776002519	1.75434587036476	3.612776002519	1.75434587036476	2.66453525910038e-15	2.22044604925031e-15	PASS
GSE289223	3.34838177029191	1.60097170663527	3.34838177029191	1.60097170663527	3.10862446895044e-15	2.88657986402541e-15	PASS
GSE301407	1.84716358744032	0.951001109897117	1.84716358744032	0.951001109897117	1.99840144432528e-15	2.22044604925031e-16	PASS
GSE315511	-0.25828168708011	0.504169339367559	-0.25828168708011	0.504169339367559	5.55111512312578e-17	2.22044604925031e-16	PASS
