study	disease_group	control_group	n_disease	n_control	mean_disease	mean_control	sd_disease	sd_control	hedges_g	sampling_variance	ci95_low	ci95_high
GSE130400	OIR	normoxia	13	12	0.783107757307692	0.3215659345	0.661346313599866	0.621323694452716	0.694609867245036	0.169906067609894	-0.113280695956118	1.50250043044619
GSE194176	OIR_WT	normoxia_WT	3	3	1.06097911492579	0.963676439536426	0.230523949846058	0.0590441911655181	0.461387809841143	0.684406559255834	-1.16006820682852	2.0828438265108
GSE234447	OIR	normoxia	8	6	6.60707801294954	5.42126204688295	0.289038695754676	0.286516083450614	3.85379224668836	0.822085048117928	2.07671434759295	5.63087014578377
GSE241239	OIR	normoxia	6	6	2.61786752842638	1.55040717202043	0.336885333792541	0.391590573777298	2.69666761375146	0.636334009127333	1.13319363179018	4.26014159571274
GSE259255	OIR	normoxia	3	3	0.831302609079158	0.537355733700334	0.0236929660550664	0.0886986091118139	3.612776002519	1.75434587036476	1.01676995124311	6.20878205379488
GSE289223	OIR	normoxia	3	3	2.55699303926423	1.09245693695798	0.120153865088388	0.478688134493985	3.34838177029191	1.60097170663527	0.868448931657816	5.82831460892601
GSE301407	OIR	normoxia	3	3	1.58975703375608	0.760469178482362	0.298561197442002	0.409258769446629	1.84716358744032	0.951001109897117	-0.0641792918213191	3.75850646670196
GSE315511	OIR_IgG	normoxia	4	4	-0.906821052153311	-0.445829360111484	1.60920381881529	1.4891935717937	-0.25828168708011	0.504169339367559	-1.64995181891345	1.13338844475323
