figure	element	bbox	violation_type	status
S5	"text:0:Pustejovsky–Rodgers
t = 0.095; P = 0.925; k ="	554.7,436.7,689.0,458.3	NONE	PASS
S5	"font:0:Pustejovsky–Rodgers
t = 0.095; P = 0.925; k ="	554.7,436.7,689.0,458.3	NONE	PASS
S5	text:1:Hedges g	378.3,42.7,432.0,54.7	NONE	PASS
S5	font:1:Hedges g	378.3,42.7,432.0,54.7	NONE	PASS
S5	text:2:0	190.9,60.3,197.0,70.3	NONE	PASS
S5	font:2:0	190.9,60.3,197.0,70.3	NONE	PASS
S5	text:3:1	303.5,60.3,309.7,70.3	NONE	PASS
S5	font:3:1	303.5,60.3,309.7,70.3	NONE	PASS
S5	text:4:2	416.1,60.3,422.4,70.3	NONE	PASS
S5	font:4:2	416.1,60.3,422.4,70.3	NONE	PASS
S5	text:5:3	528.7,60.3,535.0,70.3	NONE	PASS
S5	font:5:3	528.7,60.3,535.0,70.3	NONE	PASS
S5	text:6:4	641.4,60.3,647.5,70.3	NONE	PASS
S5	font:6:4	641.4,60.3,647.5,70.3	NONE	PASS
S5	text:7:Standard error	66.7,234.4,78.7,315.6	NONE	PASS
S5	font:7:Standard error	66.7,234.4,78.7,315.6	NONE	PASS
S5	text:8:0.4	84.5,444.5,99.8,454.5	NONE	PASS
S5	font:8:0.4	84.5,444.5,99.8,454.5	NONE	PASS
S5	text:9:0.6	84.4,366.5,99.8,376.5	NONE	PASS
S5	font:9:0.6	84.4,366.5,99.8,376.5	NONE	PASS
S5	text:10:0.8	84.4,288.5,99.8,298.5	NONE	PASS
S5	font:10:0.8	84.4,288.5,99.8,298.5	NONE	PASS
S5	text:11:1.0	84.4,210.5,99.8,220.5	NONE	PASS
S5	font:11:1.0	84.4,210.5,99.8,220.5	NONE	PASS
S5	text:12:1.2	84.3,132.5,99.8,142.5	NONE	PASS
S5	font:12:1.2	84.3,132.5,99.8,142.5	NONE	PASS
S5	tick_neighbor:axes0:0:0	190.9,60.3,197.0,70.3	NONE	PASS
S5	tick_neighbor:axes0:1:1	303.5,60.3,309.7,70.3	NONE	PASS
S5	tick_neighbor:axes0:2:2	416.1,60.3,422.4,70.3	NONE	PASS
S5	tick_neighbor:axes0:3:3	528.7,60.3,535.0,70.3	NONE	PASS
S5	tick_neighbor:axes0:4:4	641.4,60.3,647.5,70.3	NONE	PASS
S5	tick_neighbor:axes0:5:0.4	84.5,444.5,99.8,454.5	NONE	PASS
S5	tick_neighbor:axes0:6:0.6	84.4,366.5,99.8,376.5	NONE	PASS
S5	tick_neighbor:axes0:7:0.8	84.4,288.5,99.8,298.5	NONE	PASS
S5	tick_neighbor:axes0:8:1.0	84.4,210.5,99.8,220.5	NONE	PASS
S5	tick_neighbor:axes0:9:1.2	84.3,132.5,99.8,142.5	NONE	PASS
