figure	element	bbox	violation_type	status
S3	text:panel_label:A:A	94.3,467.0,105.3,481.0	NONE	PASS
S3	font:panel_label:A:A	94.3,467.0,105.3,481.0	NONE	PASS
S3	text:1:Coefficient (95% CI)	141.3,42.7,253.3,54.7	NONE	PASS
S3	font:1:Coefficient (95% CI)	141.3,42.7,253.3,54.7	NONE	PASS
S3	text:2:−1	133.4,60.3,146.2,70.3	NONE	PASS
S3	font:2:−1	133.4,60.3,146.2,70.3	NONE	PASS
S3	text:3:0	182.7,60.3,188.8,70.3	NONE	PASS
S3	font:3:0	182.7,60.3,188.8,70.3	NONE	PASS
S3	text:4:1	228.6,60.3,234.9,70.3	NONE	PASS
S3	font:4:1	228.6,60.3,234.9,70.3	NONE	PASS
S3	text:5:2	274.6,60.3,280.8,70.3	NONE	PASS
S3	font:5:2	274.6,60.3,280.8,70.3	NONE	PASS
S3	text:6:GSM5277737	38.8,90.4,107.1,100.4	NONE	PASS
S3	font:6:GSM5277737	38.8,90.4,107.1,100.4	NONE	PASS
S3	text:7:GSM5690478	38.8,144.9,107.1,154.9	NONE	PASS
S3	font:7:GSM5690478	38.8,144.9,107.1,154.9	NONE	PASS
S3	text:8:GSM5690479	39.0,199.5,107.1,209.5	NONE	PASS
S3	font:8:GSM5690479	39.0,199.5,107.1,209.5	NONE	PASS
S3	text:9:GSM7845000	39.0,254.0,107.1,264.0	NONE	PASS
S3	font:9:GSM7845000	39.0,254.0,107.1,264.0	NONE	PASS
S3	text:10:GSM7845001	38.8,308.5,107.1,318.5	NONE	PASS
S3	font:10:GSM7845001	38.8,308.5,107.1,318.5	NONE	PASS
S3	text:11:GSM7845002	38.8,363.1,107.1,373.1	NONE	PASS
S3	font:11:GSM7845002	38.8,363.1,107.1,373.1	NONE	PASS
S3	text:12:GSM7845003	38.8,417.6,107.1,427.6	NONE	PASS
S3	font:12:GSM7845003	38.8,417.6,107.1,427.6	NONE	PASS
S3	text:panel_title:A:M0	116.8,448.1,134.3,460.1	NONE	PASS
S3	font:panel_title:A:M0	116.8,448.1,134.3,460.1	NONE	PASS
S3	text:panel_label:B:B	313.1,467.0,324.1,481.0	NONE	PASS
S3	font:panel_label:B:B	313.1,467.0,324.1,481.0	NONE	PASS
S3	text:15:Coefficient (95% CI)	360.1,42.7,472.1,54.7	NONE	PASS
S3	font:15:Coefficient (95% CI)	360.1,42.7,472.1,54.7	NONE	PASS
S3	text:16:−15	326.2,60.3,345.1,70.3	NONE	PASS
S3	font:16:−15	326.2,60.3,345.1,70.3	NONE	PASS
S3	text:17:0	413.0,60.3,419.2,70.3	NONE	PASS
S3	font:17:0	413.0,60.3,419.2,70.3	NONE	PASS
S3	text:18:15	490.4,60.3,502.7,70.3	NONE	PASS
S3	font:18:15	490.4,60.3,502.7,70.3	NONE	PASS
S3	text:panel_title:B:M1	335.6,448.1,353.1,460.1	NONE	PASS
S3	font:panel_title:B:M1	335.6,448.1,353.1,460.1	NONE	PASS
