figure	element	bbox	violation_type	status
Fig2	text:panel_label:A:A	40.7,825.6,51.7,839.6	NONE	PASS
Fig2	font:panel_label:A:A	40.7,825.6,51.7,839.6	NONE	PASS
Fig2	text:1:Hedges g (OIR versus normoxia)	313.7,412.6,496.6,424.6	NONE	PASS
Fig2	font:1:Hedges g (OIR versus normoxia)	313.7,412.6,496.6,424.6	NONE	PASS
Fig2	text:2:−2	114.1,430.2,126.8,440.2	NONE	PASS
Fig2	font:2:−2	114.1,430.2,126.8,440.2	NONE	PASS
Fig2	text:3:0	256.3,430.2,262.4,440.2	NONE	PASS
Fig2	font:3:0	256.3,430.2,262.4,440.2	NONE	PASS
Fig2	text:4:2	395.1,430.2,401.3,440.2	NONE	PASS
Fig2	font:4:2	395.1,430.2,401.3,440.2	NONE	PASS
Fig2	text:5:4	534.0,430.2,540.1,440.2	NONE	PASS
Fig2	font:5:4	534.0,430.2,540.1,440.2	NONE	PASS
Fig2	text:6:6	672.8,430.2,679.1,440.2	NONE	PASS
Fig2	font:6:6	672.8,430.2,679.1,440.2	NONE	PASS
Fig2	text:7:GSE315511	50.1,483.2,110.7,493.2	NONE	PASS
Fig2	font:7:GSE315511	50.1,483.2,110.7,493.2	NONE	PASS
Fig2	text:8:GSE132731	50.0,502.8,110.7,512.8	NONE	PASS
Fig2	font:8:GSE132731	50.0,502.8,110.7,512.8	NONE	PASS
Fig2	text:9:GSE135844	50.2,522.4,110.7,532.4	NONE	PASS
Fig2	font:9:GSE135844	50.2,522.4,110.7,532.4	NONE	PASS
Fig2	text:10:GSE216676	50.0,542.1,110.7,552.1	NONE	PASS
Fig2	font:10:GSE216676	50.0,542.1,110.7,552.1	NONE	PASS
Fig2	text:11:GSE124956	50.2,561.7,110.7,571.7	NONE	PASS
Fig2	font:11:GSE124956	50.2,561.7,110.7,571.7	NONE	PASS
Fig2	text:12:GSE194176	50.2,581.4,110.7,591.4	NONE	PASS
Fig2	font:12:GSE194176	50.2,581.4,110.7,591.4	NONE	PASS
Fig2	text:13:GSE230668	50.0,601.0,110.7,611.0	NONE	PASS
Fig2	font:13:GSE230668	50.0,601.0,110.7,611.0	NONE	PASS
Fig2	text:14:GSE130400	50.4,620.6,110.7,630.6	NONE	PASS
Fig2	font:14:GSE130400	50.4,620.6,110.7,630.6	NONE	PASS
Fig2	text:15:PRJNA1347474	31.2,640.3,110.7,650.3	NONE	PASS
Fig2	font:15:PRJNA1347474	31.2,640.3,110.7,650.3	NONE	PASS
Fig2	text:16:GSE123945	50.2,659.9,110.7,669.9	NONE	PASS
Fig2	font:16:GSE123945	50.2,659.9,110.7,669.9	NONE	PASS
Fig2	text:17:GSE301407	50.4,679.5,110.7,689.5	NONE	PASS
Fig2	font:17:GSE301407	50.4,679.5,110.7,689.5	NONE	PASS
Fig2	text:18:PRJNA1227125	30.9,699.2,110.7,709.2	NONE	PASS
Fig2	font:18:PRJNA1227125	30.9,699.2,110.7,709.2	NONE	PASS
Fig2	text:19:GSE241239	50.1,718.8,110.7,728.8	NONE	PASS
Fig2	font:19:GSE241239	50.1,718.8,110.7,728.8	NONE	PASS
Fig2	text:20:GSE158799	50.4,738.4,110.7,748.4	NONE	PASS
Fig2	font:20:GSE158799	50.4,738.4,110.7,748.4	NONE	PASS
Fig2	text:21:GSE289223	50.0,758.1,110.7,768.1	NONE	PASS
Fig2	font:21:GSE289223	50.0,758.1,110.7,768.1	NONE	PASS
Fig2	text:22:GSE234447	50.4,777.7,110.7,787.7	NONE	PASS
Fig2	font:22:GSE234447	50.4,777.7,110.7,787.7	NONE	PASS
Fig2	text:23:REML/HK pooled	24.9,458.6,110.7,468.6	NONE	PASS
Fig2	font:23:REML/HK pooled	24.9,458.6,110.7,468.6	NONE	PASS
Fig2	text:panel_title:A:Cohort-level effects and pooled estimate	120.5,807.5,361.3,819.5	NONE	PASS
Fig2	font:panel_title:A:Cohort-level effects and pooled estimate	120.5,807.5,361.3,819.5	NONE	PASS
Fig2	text:25:Whole retina/lysate	207.8,384.5,302.7,394.5	NONE	PASS
Fig2	font:25:Whole retina/lysate	207.8,384.5,302.7,394.5	NONE	PASS
Fig2	text:26:Enriched/isolated cells	346.0,384.5,457.2,394.5	NONE	PASS
Fig2	font:26:Enriched/isolated cells	346.0,384.5,457.2,394.5	NONE	PASS
Fig2	text:27:Other retinal compartment	500.5,384.5,630.2,394.5	NONE	PASS
Fig2	font:27:Other retinal compartment	500.5,384.5,630.2,394.5	NONE	PASS
Fig2	text:panel_label:B:B	99.9,300.9,110.9,314.9	NONE	PASS
Fig2	font:panel_label:B:B	99.9,300.9,110.9,314.9	NONE	PASS
Fig2	text:29:Pooled Hedges g after omission	105.1,52.5,282.9,64.5	NONE	PASS
Fig2	font:29:Pooled Hedges g after omission	105.1,52.5,282.9,64.5	NONE	PASS
Fig2	text:30:−1	51.9,70.1,64.7,80.1	NONE	PASS
Fig2	font:30:−1	51.9,70.1,64.7,80.1	NONE	PASS
Fig2	text:31:0	124.1,70.1,130.2,80.1	NONE	PASS
Fig2	font:31:0	124.1,70.1,130.2,80.1	NONE	PASS
Fig2	text:32:1	192.9,70.1,199.1,80.1	NONE	PASS
Fig2	font:32:1	192.9,70.1,199.1,80.1	NONE	PASS
Fig2	text:33:2	261.7,70.1,268.0,80.1	NONE	PASS
Fig2	font:33:2	261.7,70.1,268.0,80.1	NONE	PASS
Fig2	text:34:3	330.5,70.1,336.8,80.1	NONE	PASS
Fig2	font:34:3	330.5,70.1,336.8,80.1	NONE	PASS
Fig2	text:35:GSE234447	50.4,92.7,110.7,102.7	NONE	PASS
Fig2	font:35:GSE234447	50.4,92.7,110.7,102.7	NONE	PASS
Fig2	text:36:GSE241239	50.1,104.6,110.7,114.6	NONE	PASS
Fig2	font:36:GSE241239	50.1,104.6,110.7,114.6	NONE	PASS
Fig2	text:37:GSE289223	50.0,116.5,110.7,126.5	NONE	PASS
Fig2	font:37:GSE289223	50.0,116.5,110.7,126.5	NONE	PASS
Fig2	text:38:GSE158799	50.4,128.4,110.7,138.4	NONE	PASS
Fig2	font:38:GSE158799	50.4,128.4,110.7,138.4	NONE	PASS
Fig2	text:39:PRJNA1227125	30.9,140.3,110.7,150.3	NONE	PASS
Fig2	font:39:PRJNA1227125	30.9,140.3,110.7,150.3	NONE	PASS
Fig2	text:40:GSE301407	50.4,152.2,110.7,162.2	NONE	PASS
Fig2	font:40:GSE301407	50.4,152.2,110.7,162.2	NONE	PASS
Fig2	text:41:PRJNA1347474	31.2,164.1,110.7,174.1	NONE	PASS
Fig2	font:41:PRJNA1347474	31.2,164.1,110.7,174.1	NONE	PASS
Fig2	text:42:GSE123945	50.2,176.0,110.7,186.0	NONE	PASS
Fig2	font:42:GSE123945	50.2,176.0,110.7,186.0	NONE	PASS
Fig2	text:43:GSE230668	50.0,187.9,110.7,197.9	NONE	PASS
Fig2	font:43:GSE230668	50.0,187.9,110.7,197.9	NONE	PASS
Fig2	text:44:GSE194176	50.2,199.8,110.7,209.8	NONE	PASS
Fig2	font:44:GSE194176	50.2,199.8,110.7,209.8	NONE	PASS
Fig2	text:45:GSE130400	50.4,211.7,110.7,221.7	NONE	PASS
Fig2	font:45:GSE130400	50.4,211.7,110.7,221.7	NONE	PASS
Fig2	text:46:GSE216676	50.0,223.6,110.7,233.6	NONE	PASS
Fig2	font:46:GSE216676	50.0,223.6,110.7,233.6	NONE	PASS
Fig2	text:47:GSE124956	50.2,235.5,110.7,245.5	NONE	PASS
Fig2	font:47:GSE124956	50.2,235.5,110.7,245.5	NONE	PASS
Fig2	text:48:GSE135844	50.2,247.4,110.7,257.4	NONE	PASS
Fig2	font:48:GSE135844	50.2,247.4,110.7,257.4	NONE	PASS
Fig2	text:49:GSE315511	50.1,259.3,110.7,269.3	NONE	PASS
Fig2	font:49:GSE315511	50.1,259.3,110.7,269.3	NONE	PASS
Fig2	text:50:GSE132731	50.0,271.2,110.7,281.2	NONE	PASS
Fig2	font:50:GSE132731	50.0,271.2,110.7,281.2	NONE	PASS
