figure	element	bbox	violation_type	status
Fig3	text:panel_label:A:A	61.8,691.8,72.8,705.8	NONE	PASS
Fig3	font:panel_label:A:A	61.8,691.8,72.8,705.8	NONE	PASS
Fig3	text:1:ADORA2A abundance (z)	141.3,403.3,284.6,415.3	NONE	PASS
Fig3	font:1:ADORA2A abundance (z)	141.3,403.3,284.6,415.3	NONE	PASS
Fig3	text:2:−1.5	61.2,420.9,83.1,430.9	NONE	PASS
Fig3	font:2:−1.5	61.2,420.9,83.1,430.9	NONE	PASS
Fig3	text:3:−1.0	107.1,420.9,129.0,430.9	NONE	PASS
Fig3	font:3:−1.0	107.1,420.9,129.0,430.9	NONE	PASS
Fig3	text:4:−0.5	153.0,420.9,174.8,430.9	NONE	PASS
Fig3	font:4:−0.5	153.0,420.9,174.8,430.9	NONE	PASS
Fig3	text:5:0.0	202.1,420.9,217.4,430.9	NONE	PASS
Fig3	font:5:0.0	202.1,420.9,217.4,430.9	NONE	PASS
Fig3	text:6:0.5	248.0,420.9,263.3,430.9	NONE	PASS
Fig3	font:6:0.5	248.0,420.9,263.3,430.9	NONE	PASS
Fig3	text:7:1.0	293.8,420.9,309.2,430.9	NONE	PASS
Fig3	font:7:1.0	293.8,420.9,309.2,430.9	NONE	PASS
Fig3	text:8:1.5	339.7,420.9,355.1,430.9	NONE	PASS
Fig3	font:8:1.5	339.7,420.9,355.1,430.9	NONE	PASS
Fig3	text:9:Six-gene donor score (sensitivity)	45.7,464.6,57.7,650.2	NONE	PASS
Fig3	font:9:Six-gene donor score (sensitivity)	45.7,464.6,57.7,650.2	NONE	PASS
Fig3	text:10:−2.0	63.3,432.2,85.2,442.2	NONE	PASS
Fig3	font:10:−2.0	63.3,432.2,85.2,442.2	NONE	PASS
Fig3	text:11:−1.5	63.3,467.0,85.2,477.0	NONE	PASS
Fig3	font:11:−1.5	63.3,467.0,85.2,477.0	NONE	PASS
Fig3	text:12:−1.0	63.3,501.7,85.2,511.7	NONE	PASS
Fig3	font:12:−1.0	63.3,501.7,85.2,511.7	NONE	PASS
Fig3	text:13:−0.5	63.4,536.5,85.2,546.5	NONE	PASS
Fig3	font:13:−0.5	63.4,536.5,85.2,546.5	NONE	PASS
Fig3	text:14:0.0	69.9,571.3,85.2,581.3	NONE	PASS
Fig3	font:14:0.0	69.9,571.3,85.2,581.3	NONE	PASS
Fig3	text:15:0.5	69.9,606.0,85.2,616.0	NONE	PASS
Fig3	font:15:0.5	69.9,606.0,85.2,616.0	NONE	PASS
Fig3	text:16:1.0	69.8,640.8,85.2,650.8	NONE	PASS
Fig3	font:16:1.0	69.8,640.8,85.2,650.8	NONE	PASS
Fig3	text:17:1.5	69.8,675.6,85.2,685.6	NONE	PASS
Fig3	font:17:1.5	69.8,675.6,85.2,685.6	NONE	PASS
Fig3	"text:panel_title:A:Higher-cell-count PDR donors
(≥20 endothelial"	94.9,683.8,273.5,709.5	NONE	PASS
Fig3	"font:panel_title:A:Higher-cell-count PDR donors
(≥20 endothelial"	94.9,683.8,273.5,709.5	NONE	PASS
Fig3	text:19:GSE165784	259.4,466.2,319.9,476.2	NONE	PASS
Fig3	font:19:GSE165784	259.4,466.2,319.9,476.2	NONE	PASS
Fig3	text:20:GSE245561	259.4,451.7,319.9,461.7	NONE	PASS
Fig3	font:20:GSE245561	259.4,451.7,319.9,461.7	NONE	PASS
Fig3	text:panel_label:B:B	420.7,691.8,431.7,705.8	NONE	PASS
Fig3	font:panel_label:B:B	420.7,691.8,431.7,705.8	NONE	PASS
Fig3	text:22:ADORA2A coefficient (95% CI)	485.5,403.3,658.1,415.3	NONE	PASS
Fig3	font:22:ADORA2A coefficient (95% CI)	485.5,403.3,658.1,415.3	NONE	PASS
Fig3	text:23:−15	384.6,420.9,403.5,430.9	NONE	PASS
Fig3	font:23:−15	384.6,420.9,403.5,430.9	NONE	PASS
Fig3	text:24:−10	450.0,420.9,468.8,430.9	NONE	PASS
Fig3	font:24:−10	450.0,420.9,468.8,430.9	NONE	PASS
Fig3	text:25:−5	518.5,420.9,531.1,430.9	NONE	PASS
Fig3	font:25:−5	518.5,420.9,531.1,430.9	NONE	PASS
Fig3	text:26:0	587.1,420.9,593.2,430.9	NONE	PASS
Fig3	font:26:0	587.1,420.9,593.2,430.9	NONE	PASS
Fig3	text:27:5	652.4,420.9,658.6,430.9	NONE	PASS
Fig3	font:27:5	652.4,420.9,658.6,430.9	NONE	PASS
Fig3	text:28:10	714.7,420.9,727.0,430.9	NONE	PASS
Fig3	font:28:10	714.7,420.9,727.0,430.9	NONE	PASS
