figure	element	bbox	violation_type	status
S1	text:panel_label:A:A	48.3,533.1,59.3,547.1	NONE	PASS
S1	font:panel_label:A:A	48.3,533.1,59.3,547.1	NONE	PASS
S1	text:1:Normoxia	61.2,323.0,108.9,333.0	NONE	PASS
S1	font:1:Normoxia	61.2,323.0,108.9,333.0	NONE	PASS
S1	text:2:OIR	160.8,323.0,180.3,333.0	NONE	PASS
S1	font:2:OIR	160.8,323.0,180.3,333.0	NONE	PASS
S1	text:3:−2	43.2,334.5,56.0,344.5	NONE	PASS
S1	font:3:−2	43.2,334.5,56.0,344.5	NONE	PASS
S1	text:4:−1	43.2,383.9,56.0,393.9	NONE	PASS
S1	font:4:−1	43.2,383.9,56.0,393.9	NONE	PASS
S1	text:5:0	49.9,433.4,56.0,443.4	NONE	PASS
S1	font:5:0	49.9,433.4,56.0,443.4	NONE	PASS
S1	text:6:1	49.7,482.9,56.0,492.9	NONE	PASS
S1	font:6:1	49.7,482.9,56.0,492.9	NONE	PASS
S1	text:7:2	49.7,532.4,56.0,542.4	NONE	PASS
S1	font:7:2	49.7,532.4,56.0,542.4	NONE	PASS
S1	text:panel_title:A:GSE234447	65.7,527.9,134.2,539.9	NONE	PASS
S1	font:panel_title:A:GSE234447	65.7,527.9,134.2,539.9	NONE	PASS
S1	text:panel_label:B:B	224.7,533.1,235.7,547.1	NONE	PASS
S1	font:panel_label:B:B	224.7,533.1,235.7,547.1	NONE	PASS
S1	text:10:Normoxia	237.5,323.0,285.3,333.0	NONE	PASS
S1	font:10:Normoxia	237.5,323.0,285.3,333.0	NONE	PASS
S1	text:11:OIR	337.2,323.0,356.7,333.0	NONE	PASS
S1	font:11:OIR	337.2,323.0,356.7,333.0	NONE	PASS
S1	text:12:−2	219.6,331.9,232.4,341.9	NONE	PASS
S1	font:12:−2	219.6,331.9,232.4,341.9	NONE	PASS
S1	text:13:−1	219.6,379.8,232.4,389.8	NONE	PASS
S1	font:13:−1	219.6,379.8,232.4,389.8	NONE	PASS
S1	text:14:0	226.2,427.6,232.4,437.6	NONE	PASS
S1	font:14:0	226.2,427.6,232.4,437.6	NONE	PASS
S1	text:15:1	226.1,475.5,232.4,485.5	NONE	PASS
S1	font:15:1	226.1,475.5,232.4,485.5	NONE	PASS
S1	text:16:2	226.1,523.4,232.4,533.4	NONE	PASS
S1	font:16:2	226.1,523.4,232.4,533.4	NONE	PASS
S1	text:panel_title:B:GSE241239	242.1,527.9,310.2,539.9	NONE	PASS
S1	font:panel_title:B:GSE241239	242.1,527.9,310.2,539.9	NONE	PASS
S1	text:panel_label:C:C	401.1,533.1,412.1,547.1	NONE	PASS
S1	font:panel_label:C:C	401.1,533.1,412.1,547.1	NONE	PASS
S1	text:19:Normoxia	413.9,323.0,461.7,333.0	NONE	PASS
S1	font:19:Normoxia	413.9,323.0,461.7,333.0	NONE	PASS
S1	text:20:OIR	513.6,323.0,533.1,333.0	NONE	PASS
S1	font:20:OIR	513.6,323.0,533.1,333.0	NONE	PASS
S1	text:21:−2.5	386.9,313.3,408.7,323.3	NONE	PASS
S1	font:21:−2.5	386.9,313.3,408.7,323.3	NONE	PASS
S1	text:22:−2.0	386.9,339.4,408.7,349.4	NONE	PASS
S1	font:22:−2.0	386.9,339.4,408.7,349.4	NONE	PASS
S1	text:23:−1.5	386.9,365.6,408.7,375.6	NONE	PASS
S1	font:23:−1.5	386.9,365.6,408.7,375.6	NONE	PASS
S1	text:24:−1.0	386.9,391.8,408.7,401.8	NONE	PASS
S1	font:24:−1.0	386.9,391.8,408.7,401.8	NONE	PASS
S1	text:25:−0.5	387.0,417.9,408.7,427.9	NONE	PASS
S1	font:25:−0.5	387.0,417.9,408.7,427.9	NONE	PASS
S1	text:26:0.0	393.5,444.1,408.7,454.1	NONE	PASS
S1	font:26:0.0	393.5,444.1,408.7,454.1	NONE	PASS
S1	text:27:0.5	393.5,470.3,408.7,480.3	NONE	PASS
S1	font:27:0.5	393.5,470.3,408.7,480.3	NONE	PASS
S1	text:28:1.0	393.4,496.4,408.7,506.4	NONE	PASS
S1	font:28:1.0	393.4,496.4,408.7,506.4	NONE	PASS
S1	text:29:1.5	393.4,522.6,408.7,532.6	NONE	PASS
S1	font:29:1.5	393.4,522.6,408.7,532.6	NONE	PASS
S1	text:panel_title:C:GSE315511	418.5,527.9,486.8,539.9	NONE	PASS
S1	font:panel_title:C:GSE315511	418.5,527.9,486.8,539.9	NONE	PASS
S1	text:panel_label:D:D	577.4,533.1,588.4,547.1	NONE	PASS
S1	font:panel_label:D:D	577.4,533.1,588.4,547.1	NONE	PASS
S1	text:32:Normoxia	590.3,323.0,638.0,333.0	NONE	PASS
S1	font:32:Normoxia	590.3,323.0,638.0,333.0	NONE	PASS
S1	text:33:OIR	690.0,323.0,709.5,333.0	NONE	PASS
S1	font:33:OIR	690.0,323.0,709.5,333.0	NONE	PASS
S1	text:34:−3	572.4,300.3,585.1,310.3	NONE	PASS
S1	font:34:−3	572.4,300.3,585.1,310.3	NONE	PASS
S1	text:35:−2	572.4,343.2,585.1,353.2	NONE	PASS
S1	font:35:−2	572.4,343.2,585.1,353.2	NONE	PASS
S1	text:36:−1	572.4,386.2,585.1,396.2	NONE	PASS
S1	font:36:−1	572.4,386.2,585.1,396.2	NONE	PASS
S1	text:37:0	579.0,429.1,585.1,439.1	NONE	PASS
S1	font:37:0	579.0,429.1,585.1,439.1	NONE	PASS
S1	text:38:1	578.9,472.1,585.1,482.1	NONE	PASS
S1	font:38:1	578.9,472.1,585.1,482.1	NONE	PASS
S1	text:39:2	578.9,515.0,585.1,525.0	NONE	PASS
S1	font:39:2	578.9,515.0,585.1,525.0	NONE	PASS
S1	text:panel_title:D:GSE130400	594.8,527.9,663.3,539.9	NONE	PASS
S1	font:panel_title:D:GSE130400	594.8,527.9,663.3,539.9	NONE	PASS
S1	text:panel_label:E:E	48.3,263.9,58.4,277.9	NONE	PASS
S1	font:panel_label:E:E	48.3,263.9,58.4,277.9	NONE	PASS
S1	text:42:Normoxia	61.2,53.7,108.9,63.7	NONE	PASS
S1	font:42:Normoxia	61.2,53.7,108.9,63.7	NONE	PASS
S1	text:43:OIR	160.8,53.7,180.3,63.7	NONE	PASS
S1	font:43:OIR	160.8,53.7,180.3,63.7	NONE	PASS
S1	text:44:−1.0	34.1,43.4,56.0,53.4	NONE	PASS
S1	font:44:−1.0	34.1,43.4,56.0,53.4	NONE	PASS
S1	text:45:−0.5	34.2,69.2,56.0,79.2	NONE	PASS
S1	font:45:−0.5	34.2,69.2,56.0,79.2	NONE	PASS
S1	text:46:0.0	40.7,95.0,56.0,105.0	NONE	PASS
S1	font:46:0.0	40.7,95.0,56.0,105.0	NONE	PASS
S1	text:47:0.5	40.7,120.8,56.0,130.8	NONE	PASS
S1	font:47:0.5	40.7,120.8,56.0,130.8	NONE	PASS
S1	text:48:1.0	40.6,146.5,56.0,156.5	NONE	PASS
S1	font:48:1.0	40.6,146.5,56.0,156.5	NONE	PASS
S1	text:49:1.5	40.6,172.3,56.0,182.3	NONE	PASS
S1	font:49:1.5	40.6,172.3,56.0,182.3	NONE	PASS
S1	text:50:2.0	40.6,198.1,56.0,208.1	NONE	PASS
S1	font:50:2.0	40.6,198.1,56.0,208.1	NONE	PASS
S1	text:51:2.5	40.6,223.9,56.0,233.9	NONE	PASS
S1	font:51:2.5	40.6,223.9,56.0,233.9	NONE	PASS
S1	text:52:3.0	40.6,249.7,56.0,259.7	NONE	PASS
S1	font:52:3.0	40.6,249.7,56.0,259.7	NONE	PASS
S1	text:panel_title:E:GSE132731	65.7,258.7,133.8,270.7	NONE	PASS
S1	font:panel_title:E:GSE132731	65.7,258.7,133.8,270.7	NONE	PASS
S1	text:panel_label:F:F	224.7,263.9,233.9,277.9	NONE	PASS
S1	font:panel_label:F:F	224.7,263.9,233.9,277.9	NONE	PASS
S1	text:55:Normoxia	237.5,53.7,285.3,63.7	NONE	PASS
S1	font:55:Normoxia	237.5,53.7,285.3,63.7	NONE	PASS
S1	text:56:OIR	337.2,53.7,356.7,63.7	NONE	PASS
S1	font:56:OIR	337.2,53.7,356.7,63.7	NONE	PASS
S1	text:57:−2.0	210.5,57.8,232.4,67.8	NONE	PASS
S1	font:57:−2.0	210.5,57.8,232.4,67.8	NONE	PASS
S1	text:58:−1.5	210.5,85.4,232.4,95.4	NONE	PASS
S1	font:58:−1.5	210.5,85.4,232.4,95.4	NONE	PASS
S1	text:59:−1.0	210.5,112.9,232.4,122.9	NONE	PASS
S1	font:59:−1.0	210.5,112.9,232.4,122.9	NONE	PASS
S1	text:60:−0.5	210.6,140.4,232.4,150.4	NONE	PASS
S1	font:60:−0.5	210.6,140.4,232.4,150.4	NONE	PASS
S1	text:61:0.0	217.1,168.0,232.4,178.0	NONE	PASS
S1	font:61:0.0	217.1,168.0,232.4,178.0	NONE	PASS
S1	text:62:0.5	217.1,195.5,232.4,205.5	NONE	PASS
S1	font:62:0.5	217.1,195.5,232.4,205.5	NONE	PASS
S1	text:63:1.0	217.0,223.1,232.4,233.1	NONE	PASS
S1	font:63:1.0	217.0,223.1,232.4,233.1	NONE	PASS
S1	text:64:1.5	217.0,250.6,232.4,260.6	NONE	PASS
S1	font:64:1.5	217.0,250.6,232.4,260.6	NONE	PASS
S1	text:panel_title:F:GSE123945	242.1,258.7,310.3,270.7	NONE	PASS
S1	font:panel_title:F:GSE123945	242.1,258.7,310.3,270.7	NONE	PASS
S1	text:panel_label:G:G	401.1,263.9,412.9,277.9	NONE	PASS
S1	font:panel_label:G:G	401.1,263.9,412.9,277.9	NONE	PASS
S1	text:67:Normoxia	413.9,53.7,461.7,63.7	NONE	PASS
S1	font:67:Normoxia	413.9,53.7,461.7,63.7	NONE	PASS
S1	text:68:OIR	513.6,53.7,533.1,63.7	NONE	PASS
S1	font:68:OIR	513.6,53.7,533.1,63.7	NONE	PASS
S1	text:69:−1.5	386.9,64.0,408.7,74.0	NONE	PASS
S1	font:69:−1.5	386.9,64.0,408.7,74.0	NONE	PASS
S1	text:70:−1.0	386.9,90.8,408.7,100.8	NONE	PASS
S1	font:70:−1.0	386.9,90.8,408.7,100.8	NONE	PASS
S1	text:71:−0.5	387.0,117.5,408.7,127.5	NONE	PASS
S1	font:71:−0.5	387.0,117.5,408.7,127.5	NONE	PASS
S1	text:72:0.0	393.5,144.3,408.7,154.3	NONE	PASS
S1	font:72:0.0	393.5,144.3,408.7,154.3	NONE	PASS
S1	text:73:0.5	393.5,171.0,408.7,181.0	NONE	PASS
S1	font:73:0.5	393.5,171.0,408.7,181.0	NONE	PASS
S1	text:74:1.0	393.4,197.8,408.7,207.8	NONE	PASS
S1	font:74:1.0	393.4,197.8,408.7,207.8	NONE	PASS
S1	text:75:1.5	393.4,224.6,408.7,234.6	NONE	PASS
S1	font:75:1.5	393.4,224.6,408.7,234.6	NONE	PASS
S1	text:76:2.0	393.4,251.3,408.7,261.3	NONE	PASS
S1	font:76:2.0	393.4,251.3,408.7,261.3	NONE	PASS
S1	text:panel_title:G:GSE135844	418.5,258.7,487.0,270.7	NONE	PASS
S1	font:panel_title:G:GSE135844	418.5,258.7,487.0,270.7	NONE	PASS
S1	text:panel_label:H:H	577.4,263.9,588.4,277.9	NONE	PASS
S1	font:panel_label:H:H	577.4,263.9,588.4,277.9	NONE	PASS
S1	text:79:Normoxia	590.3,53.7,638.0,63.7	NONE	PASS
S1	font:79:Normoxia	590.3,53.7,638.0,63.7	NONE	PASS
S1	text:80:OIR	690.0,53.7,709.5,63.7	NONE	PASS
S1	font:80:OIR	690.0,53.7,709.5,63.7	NONE	PASS
S1	text:81:−2.0	563.2,44.6,585.1,54.6	NONE	PASS
S1	font:81:−2.0	563.2,44.6,585.1,54.6	NONE	PASS
S1	text:82:−1.5	563.2,73.9,585.1,83.9	NONE	PASS
S1	font:82:−1.5	563.2,73.9,585.1,83.9	NONE	PASS
S1	text:83:−1.0	563.2,103.1,585.1,113.1	NONE	PASS
S1	font:83:−1.0	563.2,103.1,585.1,113.1	NONE	PASS
S1	text:84:−0.5	563.4,132.4,585.1,142.4	NONE	PASS
S1	font:84:−0.5	563.4,132.4,585.1,142.4	NONE	PASS
S1	text:85:0.0	569.9,161.6,585.1,171.6	NONE	PASS
S1	font:85:0.0	569.9,161.6,585.1,171.6	NONE	PASS
S1	text:86:0.5	569.9,190.9,585.1,200.9	NONE	PASS
S1	font:86:0.5	569.9,190.9,585.1,200.9	NONE	PASS
S1	text:87:1.0	569.7,220.1,585.1,230.1	NONE	PASS
S1	font:87:1.0	569.7,220.1,585.1,230.1	NONE	PASS
S1	text:88:1.5	569.7,249.4,585.1,259.4	NONE	PASS
S1	font:88:1.5	569.7,249.4,585.1,259.4	NONE	PASS
S1	text:panel_title:H:GSE124956	594.8,258.7,663.1,270.7	NONE	PASS
S1	font:panel_title:H:GSE124956	594.8,258.7,663.1,270.7	NONE	PASS
S1	text:90:Deposited retinal sample/library units	261.7,5.7,468.3,17.6	NONE	PASS
S1	font:90:Deposited retinal sample/library units	261.7,5.7,468.3,17.6	NONE	PASS
S1	text:91:Within-study standardized ADORA2A expression	14.6,146.2,26.6,418.8	NONE	PASS
S1	font:91:Within-study standardized ADORA2A expression	14.6,146.2,26.6,418.8	NONE	PASS
S1	panel_label_title:A	48.3,533.1,59.3,547.1	NONE	PASS
S1	panel_label_title:B	224.7,533.1,235.7,547.1	NONE	PASS
S1	panel_label_title:C	401.1,533.1,412.1,547.1	NONE	PASS
S1	panel_label_title:D	577.4,533.1,588.4,547.1	NONE	PASS
S1	panel_label_title:E	48.3,263.9,58.4,277.9	NONE	PASS
