figure	element	bbox	violation_type	status
Fig1	text:0:IDENTIFICATION	64.7,574.1,76.7,675.8	NONE	PASS
Fig1	font:0:IDENTIFICATION	64.7,574.1,76.7,675.8	NONE	PASS
Fig1	text:1:SCREENING	64.7,370.9,76.7,446.7	NONE	PASS
Fig1	font:1:SCREENING	64.7,370.9,76.7,446.7	NONE	PASS
Fig1	text:2:ELIGIBILITY	64.7,225.7,76.7,299.1	NONE	PASS
Fig1	font:2:ELIGIBILITY	64.7,225.7,76.7,299.1	NONE	PASS
Fig1	text:3:INCLUDED	64.7,64.3,76.7,130.1	NONE	PASS
Fig1	font:3:INCLUDED	64.7,64.3,76.7,130.1	NONE	PASS
Fig1	"text:4:Records identified from databases and
reposit"	163.4,565.5,365.7,667.0	NONE	PASS
Fig1	"font:4:Records identified from databases and
reposit"	163.4,565.5,365.7,667.0	NONE	PASS
Fig1	"text:5:Records removed before
screening

Duplicate/c"	507.1,598.8,647.0,654.6	NONE	PASS
Fig1	"font:5:Records removed before
screening

Duplicate/c"	507.1,598.8,647.0,654.6	NONE	PASS
Fig1	"text:6:Records screened
n = 255"	163.4,448.6,259.5,470.1	NONE	PASS
Fig1	"font:6:Records screened
n = 255"	163.4,448.6,259.5,470.1	NONE	PASS
Fig1	"text:7:Records excluded
n = 199"	507.1,448.6,602.0,470.1	NONE	PASS
Fig1	"font:7:Records excluded
n = 199"	507.1,448.6,602.0,470.1	NONE	PASS
Fig1	"text:8:Reports sought for retrieval
n = 56"	163.4,351.0,305.8,372.5	NONE	PASS
Fig1	"font:8:Reports sought for retrieval
n = 56"	163.4,351.0,305.8,372.5	NONE	PASS
Fig1	"text:9:Reports not retrieved
n = 0"	507.1,351.0,617.5,372.5	NONE	PASS
Fig1	"font:9:Reports not retrieved
n = 0"	507.1,351.0,617.5,372.5	NONE	PASS
Fig1	"text:10:Reports assessed for eligibility
n = 56"	163.4,253.4,322.8,274.9	NONE	PASS
Fig1	"font:10:Reports assessed for eligibility
n = 56"	163.4,253.4,322.8,274.9	NONE	PASS
Fig1	"text:11:Reports excluded (n = 40)

Non-P17 contrast ("	507.1,155.4,661.2,268.4	NONE	PASS
Fig1	"font:11:Reports excluded (n = 40)

Non-P17 contrast ("	507.1,155.4,661.2,268.4	NONE	PASS
Fig1	"text:12:Cohorts included in meta-analysis
n = 16

GEO"	163.4,60.2,340.7,116.0	NONE	PASS
Fig1	"font:12:Cohorts included in meta-analysis
n = 16

GEO"	163.4,60.2,340.7,116.0	NONE	PASS
Fig1	tick_neighbor:axes0:0:0.0	14.3,2.2,29.5,12.2	NONE	PASS
Fig1	tick_neighbor:axes0:1:0.2	153.6,2.2,169.0,12.2	NONE	PASS
Fig1	tick_neighbor:axes0:2:0.4	293.1,2.2,308.4,12.2	NONE	PASS
Fig1	tick_neighbor:axes0:3:0.6	432.5,2.2,447.9,12.2	NONE	PASS
Fig1	tick_neighbor:axes0:4:0.8	571.9,2.2,587.3,12.2	NONE	PASS
Fig1	tick_neighbor:axes0:5:1.0	711.4,2.2,726.7,12.2	NONE	PASS
Fig1	tick_neighbor:axes0:6:0.0	-3.1,15.9,12.2,25.9	NONE	PASS
