sample_id	dataset	group	ADORA2A	independence_status
Human_CNV_S1	GSE146887	CNV	-1.0	CANONICAL_COHORT
Human_CNV_S2	GSE146887	CNV	-1.0	CANONICAL_COHORT
Human_CNV_S3	GSE146887	CNV	-1.0	CANONICAL_COHORT
Human_CNV_S4	GSE146887	CNV	-1.0	CANONICAL_COHORT
Human_Control_S1	GSE146887	CONTROL	0.8361840820126626	CANONICAL_COHORT
Human_Control_S2	GSE146887	CONTROL	1.6375793015231566	CANONICAL_COHORT
Human_Control_S3	GSE146887	CONTROL	2.1248292931322696	CANONICAL_COHORT
Human_Control_S4	GSE146887	CONTROL	0.8436807451357536	CANONICAL_COHORT
