analysis_universe	model	lodo_n	estimate_min	estimate_max	estimate_median	positive_estimates	negative_estimates	ci_excluding_zero
EXPANDED_DONOR_9	M0	9	0.5658313441303657	0.9495956364177589	0.5855293301799402	9	0	1
EXPANDED_DONOR_9	M1	9	-0.4202770610223554	-0.34655957988816266	-0.38167259672001563	0	9	0
EXPANDED_DONOR_9	M2	9	-1.3237911913820826	0.07831436436526706	-0.545369012079715	1	8	0
HIGHER_CELL_COUNT_7	M0	7	0.239332843345707	0.9434146239905942	0.4591899841781457	7	0	1
HIGHER_CELL_COUNT_7	M1	7	-0.3952908913471683	-0.08146583737164978	-0.31105728389608356	0	7	0
HIGHER_CELL_COUNT_7	M2	7	-2.199044126751551	-0.6091312344455537	-1.7235499707944546	0	7	0
