dataset	GSM	official_rebuild_library_size	prior_full_matrix_library_size	absolute_difference	status
GSE165784	GSM5049905	117195.0	117195.0	0.0	PASS
GSE165784	GSM5049906	105707.0	105707.0	0.0	PASS
GSE165784	GSM5277737	595700.0	595700.0	0.0	PASS
GSE165784	GSM5690478	477141.0	477141.0	0.0	PASS
GSE165784	GSM5690479	1012402.0	1012402.0	0.0	PASS
GSE245561	GSM7845000	544640.0	544640.0	0.0	PASS
GSE245561	GSM7845001	2015650.0	2015650.0	0.0	PASS
GSE245561	GSM7845002	8329609.0	8329609.0	0.0	PASS
GSE245561	GSM7845003	3574441.0	3574441.0	0.0	PASS
