analysis_universe	technical_component	covariate	loading
HIGHER_CELL_COUNT_7	PC1	mean_counts	0.7000627868301927
HIGHER_CELL_COUNT_7	PC1	mean_genes	0.6966513292707385
HIGHER_CELL_COUNT_7	PC1	pct_mito	-0.15680886429298907
EXPANDED_DONOR_9	PC1	mean_counts	0.6343123458924013
EXPANDED_DONOR_9	PC1	mean_genes	0.6423486797254752
EXPANDED_DONOR_9	PC1	pct_mito	0.43015813546115444
