dataset	GSM	n_endothelial_cells	library_size	mean_counts	mean_genes	pct_mito	pseudobulk_denominator	transform	ADORA2A_raw_count	ADORA2A_CPM	ADORA2A_log2cpm_plus_0_5	FLT1_raw_count	FLT1_CPM	FLT1_log2cpm_plus_0_5	KDR_raw_count	KDR_CPM	KDR_log2cpm_plus_0_5	VEGFA_raw_count	VEGFA_CPM	VEGFA_log2cpm_plus_0_5	MAPK1_raw_count	MAPK1_CPM	MAPK1_log2cpm_plus_0_5	AKT1_raw_count	AKT1_CPM	AKT1_log2cpm_plus_0_5	NOS3_raw_count	NOS3_CPM	NOS3_log2cpm_plus_0_5	BioSample	donor_id	paper patient ID	specimen ID	donor_quality_status	six_gene_coverage_fraction	six_gene_sensitivity_available	FLT1_z_primary7	KDR_z_primary7	VEGFA_z_primary7	MAPK1_z_primary7	AKT1_z_primary7	NOS3_z_primary7	six_gene_score_primary7	FLT1_z_expanded9	KDR_z_expanded9	VEGFA_z_expanded9	MAPK1_z_expanded9	AKT1_z_expanded9	NOS3_z_expanded9	six_gene_score_expanded9	analysis_universe	ADORA2A_z	score_z	technical_PC1
GSE165784	GSM5277737	114	595700.0	5225.438596491228	2042.9473684210527	9.340302003539252	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	0.0	0.0	-1.0	440.0	738.6268255833472	9.529678125108852	75.0	125.90229981534328	6.9818789025144765	0.0	0.0	-1.0	24.0	40.28873594090985	5.350098893019556	7.0	11.750881316098708	3.614813633880907	62.0	104.07923451401712	6.708452605052293	SAMN18979499	Case 3	Case 3	Paper Case 3; 47-year-old female	HIGHER_CELL_COUNT	1.0	YES	-0.3560779153322101	-1.7368006928832904	-1.7050798367671105	-1.491080426018133	-1.9301182297420327	0.7361876325533367	-1.0804949113649065	-0.0660494447662226	-1.775550366541633	-1.172057327720201	-1.3935198476774433	-0.3619445023719553	0.9548362739477814	-0.6357142025216124	HIGHER_CELL_COUNT_7	-1.1351628656990342	-1.812574297969172	-1.5830303575505662
GSE165784	GSM5690478	42	477141.0	11360.5	3088.6428571428573	9.79413416831725	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	0.0	0.0	-1.0	451.0	945.2132598120892	9.88525901461376	212.0	444.3131066079	8.797055488087132	1.0	2.095816540603302	1.376188424433126	63.0	132.03644205800802	7.050245285660051	29.0	60.77867967749575	5.937313307893542	37.0	77.54521200232217	6.2862382218709545	SAMN23151555	Case 4	Case 4	Paper Case 4; 52-year-old male	HIGHER_CELL_COUNT	1.0	YES	0.269707902955479	1.7603246583007386	0.3111940430277159	1.2376528776223046	1.0402685965460965	-0.1769311372696513	0.7403694901971138	0.5013967724660765	1.8029267917801768	0.6099034027073188	1.3380201730572463	0.7819636902649436	0.0735858409897286	0.8512994452109149	HIGHER_CELL_COUNT_7	-1.1351628656990342	1.2420000268549285	1.420999683409939
GSE165784	GSM5690479	91	1012402.0	11125.296703296704	2937.6153846153848	6.658757159620084	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	0.0	0.0	-1.0	385.0	380.28372128857904	8.572827993740344	181.0	178.7827365019034	7.486092764639257	8.0	7.901999403399045	3.070732683382956	41.0	40.49774694242011	5.357472722561701	20.0	19.75499850849761	4.340206073677045	67.0	66.179245003467	6.0591658639399375	SAMN23151556	Case 5	Case 5	Paper Case 5; 53-year-old female	HIGHER_CELL_COUNT	1.0	YES	-2.0400357997698157	-0.7653805601700374	1.7490704724998096	-1.4792454367877248	-1.0023694893787087	-0.6680182257114546	-0.7009965065529885	-1.5930184229339763	-0.781532592808881	1.88068281328389	-1.38167268522859	-0.0046646439313136	-0.4003620435700676	-0.380094595864823	HIGHER_CELL_COUNT_7	-1.1351628656990342	-1.1759502403755544	1.5249400840509122
GSE245561	GSM7845000	136	544640.0	4004.705882352941	1641.9117647058824	7.631539636819632	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	7.0	12.85252643948296	3.739040835816394	554.0	1017.1856639247944	9.991076304695204	125.0	229.50940070505288	7.845549016480914	1.0	1.836075205640423	1.2240867198763234	44.0	80.78730904817861	6.344958224525438	21.0	38.55757931844888	5.287530632604415	57.0	104.65628672150412	6.716391293299618	SAMN37856715	Sample 3	Sample 3	Paper Sample 3; 29-year-old female	HIGHER_CELL_COUNT	1.0	YES	0.4559354574081463	-0.0728509291972648	0.1821307537629712	0.1056678317018144	0.2092218066473523	0.7533565532134658	0.2722435789227475	0.6702630494420228	-0.0728930054237594	0.4958386838641694	0.2048707913716656	0.4619241509643622	0.9714059900298352	0.455234943374716	HIGHER_CELL_COUNT_7	0.6987589803426164	0.4566997111713941	-2.257837640946419
GSE245561	GSM7845001	199	2015650.0	10128.89447236181	2847.0201005025124	5.9081217049745	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	40.0	19.844715104308783	4.346582172768699	2583.0	1281.4724778607397	10.32414957432542	491.0	243.59387790539031	7.931292301254736	1.0	0.4961178776077196	-0.0056116182793362	171.0	84.83615707092004	6.415085238241488	115.0	57.05355592488775	5.84683316237114	181.0	89.79733584699724	6.4966115176209005	SAMN37856714	Sample 4	Sample 4	Paper Sample 4; 32-year-old female	HIGHER_CELL_COUNT	1.0	YES	1.0421101780898785	0.0923423733495099	-0.8613086527065982	0.2182216203874095	0.924548006654244	0.2780410585408698	0.2823257640525523	1.201790959099978	0.0961431029534349	-0.4263416139327641	0.3175403504926878	0.7373992148025061	0.5126792621222528	0.4065352125896826	HIGHER_CELL_COUNT_7	0.9338663298698638	0.47361298807944185	1.2302456761655762
GSE245561	GSM7845002	1058	8329609.0	7872.976370510397	2742.093572778828	7.602990116588564	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	271.0	32.534540336767314	5.045903365182086	10799.0	1296.4594136411447	10.340917618025935	2326.0	279.24480008605445	8.127967504319434	19.0	2.2810194332050884	1.4756138259829292	893.0	107.20791336063914	6.750980439162415	358.0	42.97920826775903	5.442253764816122	355.0	42.61904730462138	5.430253397651204	SAMN37856713	Sample 2	Sample 2	Paper Sample 2; 43-year-old male	HIGHER_CELL_COUNT	1.0	YES	1.0716202115532134	0.4712574849995621	0.3955597600187013	0.7573330905840485	0.4071066799096385	-2.02816084618979	0.1791193968125623	1.2285498858282755	0.4838727196580769	0.6844648976405346	0.8572063392921855	0.5381304301332311	-1.7130349540322982	0.3465315530866675	HIGHER_CELL_COUNT_7	1.204490799377283	0.3004800962181899	0.29549730553540754
GSE245561	GSM7845003	547	3574441.0	6534.627056672761	2278.9524680073127	7.003588723594159	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	36.0	10.071504887057865	3.402108858415638	2551.0	713.6780268579059	9.48013993692918	922.0	257.94243071853754	8.013699138915996	5.0	1.3988201232024813	0.9251032442683286	366.0	102.39363301842162	6.685009901871114	149.0	41.68483967143394	5.398652713239591	419.0	117.22112632436792	6.879229440553425	SAMN37856712	Sample 1	Sample 1	Paper Sample 1; 52-year-old male	HIGHER_CELL_COUNT	1.0	YES	-0.4432600349046884	0.2511076656007768	-0.071566539835489	0.6514504425102878	0.3513426293634109	1.105524964863216	0.307433187932919	-0.1451039111922318	0.2586016695767588	0.2716237995974544	0.7512147825764783	0.5166554647482815	1.3112835344380556	0.494045889957466	HIGHER_CELL_COUNT_7	0.5683724875073396	0.5157317160207721	-0.6308147506648524
GSE165784	GSM5049905	10	117195.0	11719.5	3298.5	16.594072457382055	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	0.0	0.0	-1.0	84.0	716.7541277358249	9.486340555378453	38.0	324.2459149281113	8.34316756748784	0.0	0.0	-1.0	5.0	42.66393617475149	5.431754526925113	0.0	0.0	-1.0	8.0	68.26229787960237	6.1035458520959205	SAMN17678463	Case 1	Case 1	Paper Case 1; 51-year-old female	LOW_CELL_SENSITIVITY	1.0	YES								-0.1352087858146048	0.9081226337646976	-1.172057327720201	-1.2623278321563107	-2.6348934213133792	-0.3077316516766304	-0.7673493974860714	EXPANDED_DONOR_9	-0.8826847539949841	-1.2884011311416022	2.5497608473905995
GSE165784	GSM5049906	10	105707.0	10570.7	2841.8	11.94850474408484	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	0.0	0.0	-1.0	39.0	368.9443461643978	8.529213240046115	18.0	170.28200592202978	7.416012166286916	0.0	0.0	-1.0	10.0	94.60111440112765	6.571390341667844	2.0	18.920222880225527	4.2794878531290665	5.0	47.30055720056382	5.578955530369639	SAMN17678460	Case 2	Case 2	Paper Case 2; 59-year-old female	LOW_CELL_SENSITIVITY	1.0	YES								-1.6626201021293003	-0.9196909529588716	-1.172057327720201	0.5686679282720728	-0.0345703832966785	-1.4026622522486536	-0.7704888483469386	EXPANDED_DONOR_9	-0.8826847539949841	-1.293672357070177	1.069700537350212
GSE165784	GSM5277737	114	595700.0	5225.438596491228	2042.9473684210527	9.340302003539252	sum of all official-gene counts across selected endothelial cells	log2(CPM + 0.5)	0.0	0.0	-1.0	440.0	738.6268255833472	9.529678125108852	75.0	125.90229981534328	6.9818789025144765	0.0	0.0	-1.0	24.0	40.28873594090985	5.350098893019556	7.0	11.750881316098708	3.614813633880907	62.0	104.07923451401712	6.708452605052293	SAMN18979499	Case 3	Case 3	Paper Case 3; 47-year-old female	HIGHER_CELL_COUNT	1.0	YES	-0.3560779153322101	-1.7368006928832904	-1.7050798367671105	-1.491080426018133	-1.9301182297420327	0.7361876325533367	-1.0804949113649065	-0.0660494447662226	-1.775550366541633	-1.172057327720201	-1.3935198476774433	-0.3619445023719553	0.9548362739477814	-0.6357142025216124	EXPANDED_DONOR_9	-0.8826847539949841	-1.0673819518135401	-1.5423574038605856
