analysis_universe	dataset	GSM	donor_id	gene	raw_pseudobulk_count	CPM	log2_CPM_plus_0_5	population_z_ddof0	equal_weight	final_six_gene_score
HIGHER_CELL_COUNT_7	GSE165784	GSM5277737	Case 3	FLT1	440.0	738.6268255833472	9.529678125108852	-0.35607791533221017	0.16666666666666666	-1.0804949113649065
HIGHER_CELL_COUNT_7	GSE165784	GSM5277737	Case 3	KDR	75.0	125.90229981534328	6.9818789025144765	-1.7368006928832904	0.16666666666666666	-1.0804949113649065
HIGHER_CELL_COUNT_7	GSE165784	GSM5277737	Case 3	VEGFA	0.0	0.0	-1.0	-1.7050798367671103	0.16666666666666666	-1.0804949113649065
HIGHER_CELL_COUNT_7	GSE165784	GSM5277737	Case 3	MAPK1	24.0	40.28873594090985	5.350098893019556	-1.491080426018133	0.16666666666666666	-1.0804949113649065
HIGHER_CELL_COUNT_7	GSE165784	GSM5277737	Case 3	AKT1	7.0	11.750881316098708	3.614813633880907	-1.9301182297420327	0.16666666666666666	-1.0804949113649065
HIGHER_CELL_COUNT_7	GSE165784	GSM5277737	Case 3	NOS3	62.0	104.07923451401713	6.708452605052293	0.7361876325533367	0.16666666666666666	-1.0804949113649065
HIGHER_CELL_COUNT_7	GSE165784	GSM5690478	Case 4	FLT1	451.0	945.2132598120892	9.885259014613759	0.269707902955479	0.16666666666666666	0.7403694901971138
HIGHER_CELL_COUNT_7	GSE165784	GSM5690478	Case 4	KDR	212.0	444.31310660789995	8.797055488087132	1.7603246583007386	0.16666666666666666	0.7403694901971138
HIGHER_CELL_COUNT_7	GSE165784	GSM5690478	Case 4	VEGFA	1.0	2.095816540603302	1.376188424433126	0.31119404302771597	0.16666666666666666	0.7403694901971138
HIGHER_CELL_COUNT_7	GSE165784	GSM5690478	Case 4	MAPK1	63.0	132.03644205800802	7.050245285660051	1.2376528776223046	0.16666666666666666	0.7403694901971138
HIGHER_CELL_COUNT_7	GSE165784	GSM5690478	Case 4	AKT1	29.0	60.77867967749575	5.937313307893542	1.0402685965460963	0.16666666666666666	0.7403694901971138
HIGHER_CELL_COUNT_7	GSE165784	GSM5690478	Case 4	NOS3	37.0	77.54521200232217	6.2862382218709545	-0.1769311372696513	0.16666666666666666	0.7403694901971138
HIGHER_CELL_COUNT_7	GSE165784	GSM5690479	Case 5	FLT1	385.0	380.28372128857904	8.572827993740344	-2.0400357997698153	0.16666666666666666	-0.7009965065529885
HIGHER_CELL_COUNT_7	GSE165784	GSM5690479	Case 5	KDR	181.0	178.7827365019034	7.486092764639257	-0.7653805601700374	0.16666666666666666	-0.7009965065529885
HIGHER_CELL_COUNT_7	GSE165784	GSM5690479	Case 5	VEGFA	8.0	7.901999403399045	3.070732683382956	1.7490704724998096	0.16666666666666666	-0.7009965065529885
HIGHER_CELL_COUNT_7	GSE165784	GSM5690479	Case 5	MAPK1	41.0	40.49774694242011	5.357472722561701	-1.4792454367877248	0.16666666666666666	-0.7009965065529885
HIGHER_CELL_COUNT_7	GSE165784	GSM5690479	Case 5	AKT1	20.0	19.754998508497614	4.340206073677045	-1.0023694893787087	0.16666666666666666	-0.7009965065529885
HIGHER_CELL_COUNT_7	GSE165784	GSM5690479	Case 5	NOS3	67.0	66.179245003467	6.0591658639399375	-0.6680182257114546	0.16666666666666666	-0.7009965065529885
HIGHER_CELL_COUNT_7	GSE245561	GSM7845000	Sample 3	FLT1	554.0	1017.1856639247943	9.991076304695204	0.4559354574081463	0.16666666666666666	0.27224357892274753
HIGHER_CELL_COUNT_7	GSE245561	GSM7845000	Sample 3	KDR	125.0	229.50940070505288	7.845549016480914	-0.07285092919726484	0.16666666666666666	0.27224357892274753
HIGHER_CELL_COUNT_7	GSE245561	GSM7845000	Sample 3	VEGFA	1.0	1.836075205640423	1.2240867198763234	0.18213075376297125	0.16666666666666666	0.27224357892274753
HIGHER_CELL_COUNT_7	GSE245561	GSM7845000	Sample 3	MAPK1	44.0	80.78730904817861	6.344958224525438	0.10566783170181442	0.16666666666666666	0.27224357892274753
HIGHER_CELL_COUNT_7	GSE245561	GSM7845000	Sample 3	AKT1	21.0	38.55757931844888	5.287530632604415	0.20922180664735238	0.16666666666666666	0.27224357892274753
HIGHER_CELL_COUNT_7	GSE245561	GSM7845000	Sample 3	NOS3	57.0	104.65628672150412	6.716391293299618	0.7533565532134658	0.16666666666666666	0.27224357892274753
HIGHER_CELL_COUNT_7	GSE245561	GSM7845001	Sample 4	FLT1	2583.0	1281.4724778607397	10.32414957432542	1.0421101780898785	0.16666666666666666	0.2823257640525523
HIGHER_CELL_COUNT_7	GSE245561	GSM7845001	Sample 4	KDR	491.0	243.59387790539031	7.931292301254736	0.0923423733495099	0.16666666666666666	0.2823257640525523
HIGHER_CELL_COUNT_7	GSE245561	GSM7845001	Sample 4	VEGFA	1.0	0.49611787760771964	-0.005611618279336255	-0.8613086527065982	0.16666666666666666	0.2823257640525523
HIGHER_CELL_COUNT_7	GSE245561	GSM7845001	Sample 4	MAPK1	171.0	84.83615707092004	6.415085238241488	0.21822162038740958	0.16666666666666666	0.2823257640525523
HIGHER_CELL_COUNT_7	GSE245561	GSM7845001	Sample 4	AKT1	115.0	57.05355592488775	5.84683316237114	0.9245480066542439	0.16666666666666666	0.2823257640525523
