accession	url	local_path	status	size_bytes	sha256	downloaded_or_verified_at
GSE123945	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123945/suppl/GSE123945_MWMSmm.genesfpkm.txt.gz	release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	DOWNLOADED	656602	256bbe4facfcaff6b3c952ee6ceaea24d089ad27b4494e6df2b6bcbaa20daceb	2026-08-11T14:32:05+08:00
GSE124956	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124956/suppl/GSE124956_normalized_data_matrix.txt.gz	release_input/GSE124956_normalized_data_matrix.txt.gz	DOWNLOADED	8465851	74ab635f2ac1f4cc21110aeaef9d80ac9c91c923716931357b857f9dbb973100	2026-08-11T14:32:10+08:00
GSE132731	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132731/suppl/GSE132731_data.csv.gz	release_input/GSE132731_data.csv.gz	DOWNLOADED	5128342	bbdce618f0f37d1e086b5f8830367addb365dd266a48cebe767513f4a9cc6b98	2026-08-11T14:32:13+08:00
GSE135844	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135844/matrix/GSE135844_series_matrix.txt.gz	release_input/GSE135844_series_matrix.txt.gz	DOWNLOADED	2362913	67736a5f14830233bf2faab53ae6deeb95fe09d82e01a807ad5e4a0d0d6114bc	2026-08-11T14:32:16+08:00
GSE158799	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158799/suppl/GSE158799_RAW.tar	release_input/GSE158799_RAW.tar	DOWNLOADED	12247040	700714965ed91ef14f13b75282756b3c1caaa7e22311ce751a4e34f08307bbad	2026-08-11T14:32:19+08:00
GSE230668	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230668/matrix/GSE230668_series_matrix.txt.gz	release_input/GSE230668_series_matrix.txt.gz	DOWNLOADED	3405631	172898a6a5728a85ec73bc354ace77fafe42f3e9ea1af7c13e5cbf72fd41088a	2026-08-11T14:32:22+08:00
