accession	url	local_path	status	size_bytes	error
GSE281249	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281249/soft/GSE281249_family.soft.gz	release_input/GSE281249_family.soft.gz	EXISTING	2532	
GSE281854	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281854/soft/GSE281854_family.soft.gz	release_input/GSE281854_family.soft.gz	EXISTING	2817	
GSE281855	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281855/soft/GSE281855_family.soft.gz	release_input/GSE281855_family.soft.gz	EXISTING	2860	
GSE283276	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283276/soft/GSE283276_family.soft.gz	release_input/GSE283276_family.soft.gz	EXISTING	2491	
GSE288833	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288833/soft/GSE288833_family.soft.gz	release_input/GSE288833_family.soft.gz	EXISTING	2396	
GSE289223	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE289nnn/GSE289223/soft/GSE289223_family.soft.gz	release_input/GSE289223_family.soft.gz	EXISTING	2854	
GSE292097	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292097/soft/GSE292097_family.soft.gz	release_input/GSE292097_family.soft.gz	EXISTING	4164	
GSE301407	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE301nnn/GSE301407/soft/GSE301407_family.soft.gz	release_input/GSE301407_family.soft.gz	EXISTING	4599	
GSE304959	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304959/soft/GSE304959_family.soft.gz	release_input/GSE304959_family.soft.gz	EXISTING	2508	
GSE315511	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315511/soft/GSE315511_family.soft.gz	release_input/GSE315511_family.soft.gz	EXISTING	4158	
GSE328096	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328096/soft/GSE328096_family.soft.gz	release_input/GSE328096_family.soft.gz	EXISTING	3004	
GSE38762	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38762/soft/GSE38762_family.soft.gz	release_input/GSE38762_family.soft.gz	EXISTING	7948013	
GSE74170	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74170/soft/GSE74170_family.soft.gz	release_input/GSE74170_family.soft.gz	DOWNLOADED	4456	
GSE84303	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84303/soft/GSE84303_family.soft.gz	release_input/GSE84303_family.soft.gz	FAILED	0	<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)>
