study	n_disease	n_control	mean_disease	mean_control	sd_disease	sd_control	hedges_g	sampling_variance	ci95_low	ci95_high
PRJNA1227125	3	3	2.06220492637404	1.23930389408655	0.384742975821524	0.29526196704773	1.914598622473	0.972140657097958	-0.0178708603816062	3.8470681053276
PRJNA1347474	2	2	0.955288180925319	-2.14248062826039	0.0817625482067322	2.6877309027528	0.919183924992174	1.1056123859955	-1.14168105177149	2.98004890175584
