analysis_set	k	positive_effects	pooled_hedges_g	standard_error	residual_df	p	ci95_low	ci95_high	tau2	I2	prediction_interval_low	prediction_interval_high	included_accessions
BROAD_ALL_RETINAL_CONTEXTS	16	14	1.12244963229512	0.318960915175613	15	0.00309975357091103	0.442600534592733	1.80229872999752	0.841173900804647	58.0010181239585	-0.947263569192196	3.19216283378245	GSE123945;GSE124956;GSE130400;GSE132731;GSE135844;GSE158799;GSE194176;GSE216676;GSE230668;GSE234447;GSE241239;GSE289223;GSE301407;GSE315511;PRJNA1227125;PRJNA1347474
WHOLE_RETINA_OR_LYSATE	13	12	1.3509948937789	0.376546523362708	12	0.00372809308454146	0.530570497709646	2.17141928984816	1.03507438660986	60.4574667173249	-1.01265219356794	3.71464198112575	GSE124956;GSE130400;GSE135844;GSE158799;GSE194176;GSE230668;GSE234447;GSE241239;GSE289223;GSE301407;GSE315511;PRJNA1227125;PRJNA1347474
ENRICHED_OR_ISOLATED_CELL_COMPARTMENT	2	1	0.0288079838723164	0.0935549104781166	1	0.80983381490556	-1.15991986273713	1.21753583048176	0	0	-1.15991986273713	1.21753583048176	GSE132731;GSE216676
